,lc,product_name_es,brands,categories,labels,countries,obsolete,origins,origins_tags,ingredients_text_es,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:environmental_score_grade,off:environmental_score_data.adjustments.origins_of_ingredients.value,off:environmental_score_data.adjustments.packaging.value,off:environmental_score_data.adjustments.production_system.value,data_sources
0,es,Tomate frito,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:Groceries","Sin gluten, FSC, FSC Mixto, Punto Verde, Hecho en España","Marruecos, Rumania, España",0,,,"Tomate, aceite de girasol, azúcar, almidón modificado de maíz, sal, cebolla, ajo, conservador (sorbato potásico),",100g,serving,77.0,kcal,3.5,g,0.3,g,9.5,g,6.9,g,1.5,g,0.9825,g,0.393,g,77.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,c,4.0,b,-5.0,-14.0,0.0,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts, App - El CoCo, App - mon-coach-ig-bas, App - macrofactor"
1,es,Kéfir natural sabor suave,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Postres, Postres lácteos, en:Fermented dairy desserts, en:Kefir yogurts","Sin gluten, Punto Verde",España,0,Leche de España,es:leche-de-espana,"Leche pasteurizada de vaca, nata (leche de vaca pasteurizada), leche en polvo desnatada pasteurizada de vaca y fermentos lácticos kéfir.",100g,100g,74.0,kcal,4.2,g,2.9,g,5.1,g,2.3,g,3.9,g,0.08,mg,0.032,mg,308.0,kJ,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",en:1-unprocessed-or-minimally-processed-foods,b,1.0,unknown,-5.0,-10.0,0.0,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts, App - macrofactor, App - caloriecounterapp"
2,es,Corn Flakes 0% azúcares añadidos,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Copos, Copos de cereales, en:Extruded cereals, en:Extruded flakes, Copos de maíz tostado",Punto Verde,España,0,"España, Palencia","en:spain,es:palencia","Maiz (98%), sal, antioxidante (extracto rico en tocoferoles). Puede contener trazas de gluten, leche, frutos de cascara y soja,",100g,100g,373.0,kcal,1.1,g,0.4,g,82.0,g,0.9,g,6.7,g,1.0,g,0.4,g,1583.0,kJ,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",en:3-processed-foods,c,4.0,b,18.0,0.0,0.0,"App - yuka, Apps, App - El CoCo, App - InFood, App - smoothie-openfoodfacts, App - macrofactor, App - intolerapp"
3,es,Galletas de trigo espelta 0% azúcares añadidos,Hacendado,"Botanas, Snacks dulces, Galletas y pasteles, en:Biscuits and crackers, Galletas","Sin azúcares añadidos, Recicla-amarillo, Recicla-azul",España,0,España,en:spain,"Espelta 68 % (_gluten_, harina integral de _trigo_ espelta, copos de _trigo_ (espelta), edulcorante (maltitol), grasa vegetal de palma, fibra vegetal (inulina), _leche_ desnatada en polvo, fibra vegetal (avena), gasificantes (carbonatos de sodio, carbonato de amonio y difosfatos), sal, aromas, emulgente (lecitina de _soja_).",100g,100g,422.0,kcal,16.0,g,1.3,g,64.0,g,2.0,g,9.0,g,0.885,g,0.354,g,422.0,kcal,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",en:4-ultra-processed-food-and-drink-products,b,2.0,b,18.0,-11.0,0.0,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts, App - macrofactor"
4,es,Tomate frito,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:groceries","Sin gluten, FSC, FSC Mixto, Punto Verde",España,0,España,en:spain,"E Tomate, aceite de girasol, azúcar, almidón de maíz, sal, cebolla, ajo y conservador (sorbato potásico). Producto de España. P Tomate, óleo de girassol, açúcar, amido de milho, sal, cebola, alho e conservante (sorbato de potássio). Produto de Espanha.",100g,100g,81.0,kcal,3.0,g,0.4,g,11.6,g,7.2,g,1.4,g,0.0,mg,0.0,mg,329.0,kJ,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,a,0.0,a-plus,18.0,-10.0,0.0,"App - El CoCo, App - InFood, App - Open Food Facts, App - Speisekammer, App - Yuka, App - smoothie-openfoodfacts, Apps, App - caloriecounterapp"
5,ca,Gazpacho original,"Alvalle, PepsiCo","Aliments i begudes amb base vegetal, Aliments amb base vegetal, Aliments amb base de fruites i verdures, Menjar preparat, Sopes, Sopes vegetals, en:Cold soups, en:Gazpacho","Vegetarià, Lliure de gluten, Sense conservants, Vegà, FSC, Mix FSC, Punt verd, Sense additius, Sense colorants, Comptador Nutricional, Grau A Nutriscore, en:fsc-c081801, es:Aceite de oliva virgen extra 100 %, es:Envase-reciclable","Andorra, Bèlgica, República Popular de la Xina, França, Espanya, Suïssa, Regne Unit",0,Espanya,en:spain,"Hortalizas frescas (94%) (tomate, pimiento rojo, pepino, cebolla), 
aceite de oliva virgen extra (2,2%), 
vinagre de vino, 
sal marina, 
ajo, 
zumo de limón.",100g,100g,42.0,kcal,2.4,g,0.4,g,3.5,g,3.3,g,0.9,g,0.62,g,0.248,g,174.0,kJ,en:soups,"en:fruits-and-vegetables,en:soups",en:3-processed-foods,a,-2.0,a-plus,18.0,-11.0,0.0,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - InFood, App - smoothie-smoothie, App - smoothie-openfoodfacts, App - macrofactor"
6,es,Queso fresco batido desnatado,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Postres, Postres lácteos, en:Fermented dairy desserts, en:Fromages blancs - petit suisses and skyr, Queso fresco, fr:Fromages blancs","Sin gluten, Punto Verde, No-vegan",España,0,"España, en:Burgos","en:spain,en:burgos","Leche de vaca desnatada pasterizada, fermentos lácticos.",100g,100g,46.0,kcal,0.5,g,0.1,g,3.5,g,3.5,g,8.0,g,0.1,g,0.04,g,195.0,kJ,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",en:3-processed-foods,a,-2.0,a-plus,18.0,-15.0,0.0,"App - yuka, Apps, App - Open Food Facts, App - smoothie-openfoodfacts, App - Waistline, App - macrofactor, App - caloriecounterapp"
7,es,Havarti,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Quesos de vaca, Quesos daneses, Havarti","Sin gluten, Sin conservantes, Fuente de calcio, Punto Verde, Sin colorantes, Sin huevo",España,0,España,en:spain,"_Leche_ pasteurizada de vaca, sal, cuajo, fermentos lácticos,",serving,100g,396.0,kcal,35.0,g,25.0,g,1.3,g,0.5,g,19.0,g,0.0,mg,0.0,mg,414.0,kJ,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,c,7.0,b,18.0,-10.0,0.0,"App - yuka, Apps, app-elcoco, App - smoothie-openfoodfacts, App - InFood, App - macrofactor, App - caloriecounterapp"
8,es,Jamón Serrano,Incarlopsa,"Productos a base de carne, Carnes, Carne de cerdo y sus productos, Embutidos, Jamón, en:Prepared pork meats, Jamón de país, Jamones secos, Productos cárnicos españoles, Jamón Serrano, en:Carnes  Embutidos  Productos a base de carne  Jamón  Jamón de país  Jamones secos  Spanish meat products  Jamón Serrano  raw-cured-ham","Punto Verde, Especialidad tradicional garantizada","Francia, España",0,España,en:spain,"Jamón de cerdo, sal, azúcar, antioxidantes (E-331, E-301) y conservadores (E-252, E-250)",100g,100g,206.5,kcal,10.1666666666667,g,3.83333333333333,g,0.416666666666667,g,0.0833333333333333,g,27.9166666666667,g,0.0,mg,0.0,mg,1038.0,kJ,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:3-processed-foods,c,4.0,f,18.0,-15.0,0.0,"App - InFood, App - Yuka, Apps, App - macrofactor, App - smoothie-openfoodfacts, App - caloriecounterapp"
9,es,Tomate frito receta artesana,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:Groceries","Vegetariano, Sin gluten, Vegano, Punto Verde, Sin aceite de palma","Francia, España",0,España,en:spain,"Tomate, aceite (15%), azucar y ajo",100g,100g,201.0,kcal,15.0,g,2.1,g,14.3,g,12.5,g,1.6,g,0.9,g,0.36,g,833.0,kJ,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,c,9.0,a-plus,18.0,-15.0,0.0,"App - yuka, Apps, App - InFood, App - smoothie-openfoodfacts, App - macrofactor, App - intolerapp"
