product_name_es,quantity,brands,categories,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,Categoria
Tomate frito,400 g,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:Groceries",100g,serving,77.0,kcal,3.5,g,0.3,g,9.5,g,6.9,g,1.5,g,0.9825,g,0.393,g,77.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,c,"Salsas, Condimentos y Aditivos"
Kéfir natural sabor suave,500 g,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Postres, Postres lácteos, en:Fermented dairy desserts, en:Kefir yogurts",100g,100g,74.0,kcal,4.2,g,2.9,g,5.1,g,2.3,g,3.9,g,0.08,mg,0.032,mg,308.0,kJ,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",en:1-unprocessed-or-minimally-processed-foods,b,Lácteos y Derivados
Corn Flakes 0% azúcares añadidos,30,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Copos, Copos de cereales, en:Extruded cereals, en:Extruded flakes, Copos de maíz tostado",100g,100g,373.0,kcal,1.1,g,0.4,g,82.0,g,0.9,g,6.7,g,1.0,g,0.4,g,1583.0,kJ,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",en:3-processed-foods,c,"Cereales, Panadería y Pasta"
Galletas de trigo espelta 0% azúcares añadidos,200 g,Hacendado,"Botanas, Snacks dulces, Galletas y pasteles, en:Biscuits and crackers, Galletas",100g,100g,422.0,kcal,16.0,g,1.3,g,64.0,g,2.0,g,9.0,g,0.885,g,0.354,g,422.0,kcal,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",en:4-ultra-processed-food-and-drink-products,b,"Cereales, Panadería y Pasta"
Tomate frito,630 g (3 x 210 g),Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:groceries",100g,100g,81.0,kcal,3.0,g,0.4,g,11.6,g,7.2,g,1.4,g,0.0,mg,0.0,mg,329.0,kJ,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,a,"Salsas, Condimentos y Aditivos"
Gazpacho original,1 l,"Alvalle, PepsiCo","Aliments i begudes amb base vegetal, Aliments amb base vegetal, Aliments amb base de fruites i verdures, Menjar preparat, Sopes, Sopes vegetals, en:Cold soups, en:Gazpacho",100g,100g,42.0,kcal,2.4,g,0.4,g,3.5,g,3.3,g,0.9,g,0.62,g,0.248,g,174.0,kJ,en:soups,"en:fruits-and-vegetables,en:soups",en:3-processed-foods,a,Comidas Preparadas y Envasadas
Queso fresco batido desnatado,500 g,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Postres, Postres lácteos, en:Fermented dairy desserts, en:Fromages blancs - petit suisses and skyr, Queso fresco, fr:Fromages blancs",100g,100g,46.0,kcal,0.5,g,0.1,g,3.5,g,3.5,g,8.0,g,0.1,g,0.04,g,195.0,kJ,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",en:3-processed-foods,a,Lácteos y Derivados
Havarti,300g,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Quesos de vaca, Quesos daneses, Havarti",serving,100g,396.0,kcal,35.0,g,25.0,g,1.3,g,0.5,g,19.0,g,0.0,mg,0.0,mg,414.0,kJ,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,c,Lácteos y Derivados
Jamón Serrano,120 g,Incarlopsa,"Productos a base de carne, Carnes, Carne de cerdo y sus productos, Embutidos, Jamón, en:Prepared pork meats, Jamón de país, Jamones secos, Productos cárnicos españoles, Jamón Serrano, en:Carnes  Embutidos  Productos a base de carne  Jamón  Jamón de país  Jamones secos  Spanish meat products  Jamón Serrano  raw-cured-ham",100g,100g,206.5,kcal,10.1666666666667,g,3.83333333333333,g,0.416666666666667,g,0.0833333333333333,g,27.9166666666667,g,0.0,mg,0.0,mg,1038.0,kJ,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:3-processed-foods,c,"Carne, Aves y Productos Cárnicos"
Tomate frito receta artesana,300 g,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:Groceries",100g,100g,201.0,kcal,15.0,g,2.1,g,14.3,g,12.5,g,1.6,g,0.9,g,0.36,g,833.0,kJ,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,c,"Salsas, Condimentos y Aditivos"
